Entry                     RecordName                Record Status    Section TimeTo Data   Data
                                                    Type                     Live   Length
-----                     ----------                ------ ------    ------- ------ ------ ----
s1.eestatic.com           s1.eestatic.com           CNAME  Success   Answer     237      8 caching.elespanol.edge2befaster.io
s1.eestatic.com           caching.elespanol.edge... CNAME  Success   Answer     237      8 caching.meta-cluster-03.edge2be...
s1.eestatic.com           caching.meta-cluster-0... CNAME  Success   Answer     237      8 cec01.usg.edgetcdn.io
s1.eestatic.com           cec01.usg.edgetcdn.io     A      Success   Answer     237      4 185.59.223.130
s1.eestatic.com           cec01.usg.edgetcdn.io     A      Success   Answer     237      4 185.152.67.178
s1.eestatic.com           cec01.usg.edgetcdn.io     A      Success   Answer     237      4 86.106.87.2
sync.technoratimedia.com  sync.technoratimedia.com  CNAME  Success   Answer     294      8 adserver.technoratimedia.com
sync.technoratimedia.com  adserver.technoratimed... CNAME  Success   Answer     294      8 v05.cap-ash1.technoratimedia.com
sync.technoratimedia.com  v05.cap-ash1.technorat... A      Success   Answer     294      4 193.122.130.38
px.adhigh.net             px.adhigh.net             CNAME  Success   Answer       5      8 px-eu.adhigh.net
px.adhigh.net             px-eu.adhigh.net          A      Success   Answer       5      4 193.232.148.160
px.adhigh.net             px-eu.adhigh.net          A      Success   Answer       5      4 193.232.148.151
px.adhigh.net             px-eu.adhigh.net          A      Success   Answer       5      4 193.232.148.156
px.adhigh.net             px-eu.adhigh.net          A      Success   Answer       5      4 193.232.148.154
px.adhigh.net             px-eu.adhigh.net          A      Success   Answer       5      4 193.232.148.159
px.adhigh.net             px-eu.adhigh.net          A      Success   Answer       5      4 193.232.148.147
px.adhigh.net             px-eu.adhigh.net          A      Success   Answer       5      4 193.232.148.150
px.adhigh.net             px-eu.adhigh.net          A      Success   Answer       5      4 193.232.148.155
px.adhigh.net             px-eu.adhigh.net          A      Success   Answer       5      4 193.232.148.140
px.adhigh.net             px-eu.adhigh.net          A      Success   Answer       5      4 193.232.148.144
px.adhigh.net             px-eu.adhigh.net          A      Success   Answer       5      4 193.232.148.143
px.adhigh.net             px-eu.adhigh.net          A      Success   Answer       5      4 193.232.148.158
px.adhigh.net             px-eu.adhigh.net          A      Success   Answer       5      4 193.232.148.141
px.adhigh.net             px-eu.adhigh.net          A      Success   Answer       5      4 193.232.148.157
px.adhigh.net             px-eu.adhigh.net          A      Success   Answer       5      4 193.232.148.145
px.adhigh.net             px-eu.adhigh.net          A      Success   Answer       5      4 193.232.148.146
px.adhigh.net             px-eu.adhigh.net          A      Success   Answer       5      4 193.232.148.152
px.adhigh.net             px-eu.adhigh.net          A      Success   Answer       5      4 193.232.148.148
px.adhigh.net             px-eu.adhigh.net          A      Success   Answer       5      4 193.232.148.142
px.adhigh.net             px-eu.adhigh.net          A      Success   Answer       5      4 193.232.148.153
px.adhigh.net             px-eu.adhigh.net          A      Success   Answer       5      4 193.232.148.149
buy.tinypass.com          buy.tinypass.com          A      Success   Answer     242      4 104.17.184.177
buy.tinypass.com          buy.tinypass.com          A      Success   Answer     242      4 104.17.182.177
buy.tinypass.com          buy.tinypass.com          A      Success   Answer     242      4 104.17.183.177
buy.tinypass.com          buy.tinypass.com          A      Success   Answer     242      4 104.17.185.177
buy.tinypass.com          buy.tinypass.com          A      Success   Answer     242      4 104.17.186.177
sync.mathtag.com          sync.mathtag.com          CNAME  Success   Answer      22      8 pixel-origin.mathtag.com
sync.mathtag.com          pixel-origin.mathtag.com  A      Success   Answer      22      4 216.200.232.195
sync.mathtag.com          pixel-origin.mathtag.com  A      Success   Answer      22      4 74.121.140.14
unpkg.com                 unpkg.com                 A      Success   Answer     244      4 104.16.125.175
unpkg.com                 unpkg.com                 A      Success   Answer     244      4 104.16.123.175
unpkg.com                 unpkg.com                 A      Success   Answer     244      4 104.16.122.175
unpkg.com                 unpkg.com                 A      Success   Answer     244      4 104.16.124.175
unpkg.com                 unpkg.com                 A      Success   Answer     244      4 104.16.126.175
www.googletagmanager.com  www.googletagmanager.com  CNAME  Success   Answer      53      8 www-googletagmanager.l.google.com
www.googletagmanager.com  www-googletagmanager.l... A      Success   Answer      53      4 216.58.194.40
specopssoft.com           specopssoft.com           A      Success   Answer   28762      4 35.245.17.148
ums.acuityplatform.com                              AAAA   ServFail
ums.acuityplatform.com    ums.acuityplatform.com    A      Success   Answer     516      4 69.90.254.78
pubmatic-match.dotomi.com                           AAAA   ServFail
pubmatic-match.dotomi.com pubmatic-match.dotomi.com CNAME  Success   Answer      29      8 afp.dotomi.weighted.com.akadns.net
pubmatic-match.dotomi.com afp.dotomi.weighted.co... CNAME  Success   Answer      29      8 sjc06-login-ds.dotomi.com
pubmatic-match.dotomi.com sjc06-login-ds.dotomi.com A      Success   Answer      29      4 205.180.87.204
stats.g.doubleclick.net   stats.g.doubleclick.net   CNAME  Success   Answer     157      8 stats.l.doubleclick.net
stats.g.doubleclick.net   stats.l.doubleclick.net   A      Success   Answer     157      4 142.250.113.154
stats.g.doubleclick.net   stats.l.doubleclick.net   A      Success   Answer     157      4 142.250.113.155
stats.g.doubleclick.net   stats.l.doubleclick.net   A      Success   Answer     157      4 142.250.113.156
stats.g.doubleclick.net   stats.l.doubleclick.net   A      Success   Answer     157      4 142.250.113.157
play.google.com           play.google.com           A      Success   Answer      24      4 142.250.138.100
play.google.com           play.google.com           A      Success   Answer      24      4 142.250.138.138
play.google.com           play.google.com           A      Success   Answer      24      4 142.250.138.101
play.google.com           play.google.com           A      Success   Answer      24      4 142.250.138.139
play.google.com           play.google.com           A      Success   Answer      24      4 142.250.138.113
play.google.com           play.google.com           A      Success   Answer      24      4 142.250.138.102
